gene,log2FoldChange,pvalue,padj
ENSG00000000003.15,-1.2641669095910695,5.401332236975314e-63,2.134863197030243e-61
ENSG00000000005.6,-0.6219835461021481,0.03731465294483133,0.05337317890386073
ENSG00000000419.13,-0.05684672322348906,0.276900226276209,0.3322053755299536
ENSG00000000457.14,-0.3758361442205214,3.2018966834743956e-19,1.8562708305114055e-18
ENSG00000000460.17,0.5839182004626292,1.3890123603709744e-20,8.702491251793245e-20
ENSG00000000938.13,1.5222437015247807,1.0987127258249617e-50,2.814584728230961e-49
ENSG00000000971.16,0.6981354823141842,4.9722324792097605e-05,0.00010112583105462954
ENSG00000001036.14,0.1488002630705968,0.016400551288475444,0.024730924481337437
ENSG00000001084.13,0.11535798273723501,0.11992554754900654,0.15661823368467623
ENSG00000001167.14,-0.06579441970133845,0.15769362957016253,0.20083895543905209
ENSG00000001460.18,-0.7022544699065904,7.839411956352915e-34,9.646524283512202e-33
ENSG00000001461.17,-0.7740901606402463,7.288962534948425e-22,4.889657768858275e-21
ENSG00000001497.18,0.32464370240074125,3.5715007127216665e-12,1.31850470208245e-11
ENSG00000001561.7,-0.5404862864585576,1.0851118947909112e-08,3.078178492808895e-08
ENSG00000001617.12,1.1382502165882287,6.273331260669422e-37,8.935999426437943e-36
ENSG00000001626.16,-0.7860721722694994,0.000909208294590101,0.0016070664210775661
ENSG00000001629.10,0.04490081291027417,0.5510587577813558,0.6003210773146719
ENSG00000001630.17,-1.033886805893801,1.6503905056389762e-14,7.128972658442697e-14
ENSG00000001631.16,0.5774921671140795,8.846963933478953e-20,5.296237943881227e-19
ENSG00000002016.18,0.5658124671610979,1.3289520525605988e-11,4.715363241675648e-11
ENSG00000002079.14,1.800936177679474,4.921907910959004e-17,2.5003083411090154e-16
ENSG00000002330.14,0.438866484541965,3.643764843816398e-05,7.519856586170116e-05
ENSG00000002549.12,-0.033172311813412396,0.6903087340186309,0.7258082481602357
ENSG00000002586.20,1.267922628290121,5.908657370077081e-50,1.4711451281505848e-48
ENSG00000002586.20_PAR_Y,,,
